MEDIA_ID,MEDIA_NAME,CNT,TIME(2024/05/07 13:17:38.288),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,DIAL,DIALV,GSR,GSRV,HR,HRV,HRP,TTL0,TTL1,TTLV,PIXS,PIXV,AOI,SACCADE_MAG,SACCADE_DIR,VID_FRAME,
0,DESKTOP_A.png,25,0.41064,61095524408,0.46821,0.44281,0.00000,0.41065,1,1,0.49105,0.41055,1,1.03958,0.26019,0,,0.25472,0.21398,15.63455,0.97919,1,0.64079,0.22279,15.65933,0.98961,1,0,0.00000,9,3.51454,1,3.70402,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,,0.00000,0.00000,0,
0,DESKTOP_A.png,42,0.68994,61098318082,0.47754,0.45253,0.42725,0.26270,2,1,0.31665,0.57908,1,1.10156,0.26389,0,,0.24273,0.22392,14.14675,0.94073,1,0.62727,0.23140,14.19237,0.94073,1,0,0.00000,9,3.47363,1,3.58664,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 7-AOI 7,20.76284,329.62915,0,
0,DESKTOP_A.png,60,0.98584,61101274720,0.23836,0.61394,0.75586,0.22998,3,1,0.19499,0.61759,1,1.26250,0.27778,0,,0.23062,0.22605,14.14924,0.99586,1,0.61525,0.23113,13.98273,0.98336,1,0,0.00000,9,3.69487,1,3.45918,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 11-AOI 11,491.19910,200.78683,0,
0,DESKTOP_A.png,77,1.26514,61104067661,0.21049,0.56463,1.00195,0.26318,4,1,0.22976,0.23884,1,1.25990,0.25926,0,,0.22982,0.20866,12.28977,0.98961,1,0.61142,0.21448,13.40171,1.00003,1,0,0.00000,9,3.06215,1,3.41683,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 0-AOI 0,75.49463,135.13716,0,
0,DESKTOP_A.png,96,1.57715,61107190669,0.25353,0.04465,1.33057,0.24658,5,1,0.27775,0.03950,1,1.25833,0.25741,0,,0.22895,0.20312,11.96381,0.91669,1,0.61357,0.20944,12.79990,0.91669,1,0,0.00000,9,3.16124,1,3.33873,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 5-AOI 5,567.62585,81.62895,0,
0,DESKTOP_A.png,110,1.79150,61109333890,0.38924,0.04470,1.59375,0.19775,6,1,0.62813,0.00458,1,1.25833,0.25741,0,,0.25425,0.20445,12.10914,1.00003,1,0.63838,0.21201,11.69500,1.00003,1,0,0.00000,9,3.58252,1,3.44101,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 5-AOI 5,260.56323,359.98813,0,
0,DESKTOP_A.png,118,1.93896,61110806232,0.63731,0.11715,1.87305,0.06592,7,1,0.70186,0.31858,1,1.25833,0.25741,0,,0.25915,0.21397,12.13830,0.93753,1,0.64349,0.22055,11.24055,0.92711,1,0,0.00000,8,3.41086,1,3.44321,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,,482.67880,350.67075,0,
0,DESKTOP_A.png,136,2.23438,61113760680,0.75067,0.46326,2.00439,0.22998,8,1,0.75207,0.43403,1,1.25833,0.25741,0,,0.26144,0.22371,13.74504,1.00003,1,0.64642,0.23226,14.54074,1.00003,1,0,0.00000,8,3.50267,1,3.82964,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 9-AOI 9,432.54776,300.21088,0,
0,DESKTOP_A.png,175,2.87500,61120167898,0.74047,0.43828,2.23535,0.63965,9,1,0.79021,0.41806,1,1.25833,0.25741,0,,0.25978,0.22335,14.12500,0.97919,1,0.64600,0.23073,14.57734,0.98961,1,0,0.00000,8,3.55402,1,3.90793,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 2-AOI 2,33.33718,125.97637,0,
0,DESKTOP_A.png,202,3.31836,61124603937,0.76592,0.41428,2.89160,0.42676,10,1,0.54557,0.40101,1,1.25833,0.25741,0,,0.24819,0.22220,14.63802,0.96878,1,0.63361,0.22670,13.87796,0.96878,1,0,0.00000,8,3.27920,1,3.55486,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 2-AOI 2,55.31308,27.94378,0,
